Index,Time,(INS).Yaw
1189,28.141000,-21.1075897
1190,28.161000,-21.1329823
1191,28.179000,-21.1640015
1192,28.199000,-21.1949692
1193,28.217000,-21.2220554
1194,28.237000,-21.2523251
1195,28.271000,-21.2997952
1196,28.290000,-21.3288116
1197,28.309000,-21.3576908
1198,28.331000,-21.3889389
1199,28.350000,-21.413723
1200,28.371000,-21.4467602
1201,28.396000,-21.4794559
1202,28.416000,-21.5114555
1203,28.436000,-21.5416298
1204,28.458000,-21.5724201
1205,28.480000,-21.6041279
1206,28.516000,-21.6581078
1207,28.534000,-21.6880188
1208,28.554000,-21.7186966
1209,28.573000,-21.7469063
1210,28.593000,-21.7732773
1211,28.613000,-21.801321
1212,28.632000,-21.8322906
1213,28.651000,-21.8616028
1214,28.677000,-21.8966465
1215,28.697000,-21.9253845
1216,28.719000,-21.9551239
1217,28.766000,-22.0252819
1218,28.792000,-22.060276
1219,28.813000,-22.0895672
1220,28.833000,-22.1186028
1221,28.854000,-22.1501427
1222,28.873000,-22.175211
1223,28.894000,-22.2012672
1224,28.913000,-22.228281
1225,28.934000,-22.2610722
1226,28.952000,-22.2944412
1227,28.974000,-22.320652
1228,29.018000,-22.3850346
1229,29.037000,-22.4123554
1230,29.055000,-22.4405937
1231,29.076000,-22.467247
1232,29.096000,-22.4946804
1233,29.115000,-22.5237293
1234,29.135000,-22.5498905
1235,29.155000,-22.5816422
1236,29.176000,-22.612875
1237,29.196000,-22.640377
1238,29.217000,-22.6696568
1239,29.262000,-22.7291546
1240,29.281000,-22.756197
1241,29.300000,-22.7824402
1242,29.318000,-22.8099918
1243,29.343000,-22.8472099
1244,29.364000,-22.8745232
1245,29.383000,-22.9013672
1246,29.403000,-22.9343185
1247,29.422000,-22.9598579
1248,29.444000,-22.9891491
1249,29.464000,-23.0195522
1250,29.514000,-23.0884819
1251,29.532000,-23.1165829
1252,29.553000,-23.1454697
1253,29.571000,-23.1763744
1254,29.592000,-23.2074738
1255,29.612000,-23.2341709
1256,29.632000,-23.2593212
1257,29.650000,-23.2877121
1258,29.671000,-23.3164749
1259,29.691000,-23.341486
1260,29.711000,-23.3744316
1261,29.736000,-23.4080353
1262,29.774000,-23.4628944
1263,29.793000,-23.492836
1264,29.811000,-23.5197067
1265,29.830000,-23.9405155
1266,30.157000,-24.0154018
1267,30.176000,-24.044632
1268,30.195000,-24.0720959
1269,30.215000,-24.1025162
1270,30.265000,-24.1727238
1271,30.284000,-24.199831
1272,30.303000,-24.2276878
1273,30.323000,-24.255085
1274,30.343000,-24.2820129
1275,30.363000,-24.3097687
1276,30.382000,-24.3367424
1277,30.402000,-24.3651543
1278,30.422000,-24.3918037
1279,30.442000,-24.4223976
1280,30.466000,-24.4519653
1281,30.519000,-24.5276356
1282,30.538000,-24.5537567
1283,30.558000,-24.5856152
1284,30.584000,-24.6167564
1285,30.603000,-24.6439438
1286,30.623000,-24.6729565
1287,30.642000,-24.7019138
1288,30.662000,-24.7307606
1289,30.683000,-24.7584629
1290,30.702000,-24.783041
1291,30.721000,-24.8133202
1292,30.771000,-24.8787193
1293,30.789000,-24.9069653
1294,30.811000,-24.9352283
1295,30.830000,-24.9601479
1296,30.854000,-24.9944305
1297,30.873000,-25.0227032
1298,30.892000,-25.0529461
1299,30.913000,-25.0807495
1300,30.932000,-25.1076431
1301,30.952000,-25.1362457
1302,30.973000,-25.1684723
1303,31.022000,-25.2321663
1304,31.042000,-25.2598953
1305,31.060000,-25.2843399
1306,31.080000,-25.310936
1307,31.098000,-25.340435
1308,31.120000,-25.3665314
1309,31.139000,-25.392561
1310,31.159000,-25.423687
1311,31.180000,-25.4507771
1312,31.200000,-25.4787731
1313,31.222000,-25.5073566
1314,31.241000,-25.5320206
1315,31.282000,-25.5956039
1316,31.302000,-25.6205311
1317,31.323000,-25.6456261
1318,31.343000,-25.6745739
1319,31.364000,-25.6989174
1320,31.384000,-25.7248535
1321,31.405000,-25.7528934
1322,31.427000,-25.7831802
1323,31.447000,-25.8081989
1324,31.468000,-25.8379803
1325,31.516000,-25.9001942
1326,31.535000,-25.927681
1327,31.554000,-25.9534569
1328,31.573000,-25.9744053
1329,31.593000,-26.002634
1330,31.611000,-26.0258675
1331,31.630000,-26.0567436
1332,31.657000,-26.09198
1333,31.675000,-26.120121
1334,31.696000,-26.1478767
1335,31.716000,-26.1740494
1336,31.735000,-26.1995659
1337,31.781000,-26.2601833
1338,31.799000,-26.284483
1339,31.820000,-26.3143845
1340,31.839000,-26.3380413
1341,31.860000,-26.3616409
1342,31.878000,-26.3858929
1343,31.898000,-26.4107227
1344,31.916000,-26.4337006
1345,31.943000,-26.4624233
1346,31.961000,-26.4869766
1347,31.981000,-26.5132618
1348,32.026000,-26.5691032
1349,32.045000,-26.5953312
1350,32.064000,-26.6235886
1351,32.082000,-26.648922
1352,32.109000,-26.6845589
1353,32.128000,-26.70928
1354,32.149000,-26.7317162
1355,32.168000,-26.7569695
1356,32.187000,-26.7776756
1357,32.208000,-26.8069611
1358,32.229000,-26.8333359
1359,32.268000,-26.8789234
1360,32.287000,-26.9047298
1361,32.309000,-26.9332352
1362,32.327000,-26.9590282
1363,32.346000,-26.9847221
1364,32.368000,-27.0121346
1365,32.394000,-27.0426025
1366,32.413000,-27.0672188
1367,32.432000,-27.095314
1368,32.453000,-27.121273
1369,32.474000,-27.1511002
1370,32.523000,-27.2135887
1371,32.543000,-27.2548237
1372,32.574000,-27.278429
1373,32.597000,-27.3034039
1374,32.616000,-27.3240929
1375,32.636000,-27.3477097
1376,32.656000,-27.3793488
1377,32.681000,-27.4119492
1378,32.701000,-27.4380779
1379,32.719000,-27.4626293
1380,32.765000,-27.520443
1381,32.785000,-27.5442142
1382,32.806000,-27.5699272
1383,32.825000,-27.5896511
1384,32.850000,-27.6233501
1385,32.870000,-27.6489697
1386,32.890000,-27.6719704
1387,32.909000,-27.7011089
1388,32.929000,-27.7250214
1389,32.949000,-27.7519169
1390,32.968000,-27.7728558
1391,33.020000,-27.8354034
1392,33.039000,-27.8591671
1393,33.064000,-27.893322
1394,33.084000,-27.9145584
1395,33.105000,-27.9404449
1396,33.124000,-27.9665337
1397,33.143000,-27.9897804
1398,33.169000,-28.0212231
1399,33.189000,-28.0474682
1400,33.209000,-28.068615
1401,33.230000,-28.093504
1402,33.267000,-28.1442776
1403,33.287000,-28.170248
1404,33.307000,-28.1930618
1405,33.328000,-28.2180443
1406,33.346000,-28.2400055
1407,33.367000,-28.2681274
1408,33.388000,-28.2932358
1409,33.410000,-28.3162613
1410,33.429000,-28.3381538
1411,33.449000,-28.3625565
1412,33.467000,-28.3875217
1413,33.518000,-28.4453163
1414,33.538000,-28.4698334
1415,33.558000,-28.4933014
1416,33.576000,-28.5146446
1417,33.602000,-28.5442867
1418,33.621000,-28.5678539
1419,33.642000,-28.5934315
1420,33.661000,-28.6139927
1421,33.682000,-28.6393909
1422,33.702000,-28.6610718
1423,33.722000,-28.6850529
1424,33.768000,-28.7404118
1425,33.787000,-28.7634869
1426,33.806000,-28.7914848
1427,33.825000,-28.8104801
1428,33.844000,-28.8335075
1429,33.863000,-28.8551826
1430,33.883000,-28.8771992
1431,33.905000,-28.901638
1432,33.930000,-28.9278393
1433,33.948000,-28.949297
1434,33.968000,-28.9715004
1435,34.038000,-29.0588589
1436,34.059000,-29.0813313
1437,34.078000,-29.1034603
1438,34.099000,-29.1285477
1439,34.119000,-29.1494026
1440,34.140000,-29.1701908
1441,34.158000,-29.1906166
1442,34.178000,-29.2130432
1443,34.196000,-29.233839
1444,34.219000,-29.2603054
1445,34.268000,-29.326067
1446,34.287000,-29.3469124
1447,34.306000,-29.3699398
1448,34.326000,-29.3933163
1449,34.344000,-29.4153957
1450,34.364000,-29.432703
1451,34.383000,-29.4517078
1452,34.403000,-29.4762001
1453,34.423000,-29.5014343
1454,34.444000,-29.5252819
1455,34.463000,-29.5470886
1456,34.517000,-29.603735
1457,34.537000,-29.6276226
1458,34.557000,-29.6514225
1459,34.576000,-29.6711216
1460,34.601000,-29.6988029
1461,34.620000,-29.7183685
1462,34.641000,-29.7416019
1463,34.661000,-29.7647972
1464,34.681000,-29.7888184
1465,34.700000,-29.8074474
1466,34.723000,-29.8315105
1467,34.771000,-29.8795414
1468,34.789000,-29.9014282
1469,34.810000,-29.9237213
1470,34.829000,-29.9503078
1471,34.850000,-29.9736633
1472,34.870000,-29.9901733
1473,34.889000,-30.0081673
1474,34.909000,-30.0303345
1475,34.929000,-30.0522137
1476,34.949000,-30.0735798
1477,34.969000,-30.0984039
1478,35.023000,-30.1579571
1479,35.048000,-30.1825886
1480,35.067000,-30.2122974
1481,35.090000,-30.2344513
1482,35.111000,-30.2545319
1483,35.130000,-30.2725773
1484,35.149000,-30.293644
1485,35.170000,-30.3151531
1486,35.190000,-30.3348198
1487,35.209000,-30.3526268
1488,35.230000,-30.3736629
1489,35.268000,-30.418169
1490,35.292000,-30.4396019
1491,35.312000,-30.4579277
1492,35.332000,-30.4803314
1493,35.352000,-30.5013161
1494,35.373000,-30.5245495
1495,35.397000,-30.5499477
1496,35.417000,-30.5685291
1497,35.438000,-30.589304
1498,35.456000,-30.6086025
1499,35.476000,-30.6294518
1500,35.521000,-30.6774731
1501,35.539000,-30.6997242
1502,35.565000,-30.7273788
1503,35.586000,-30.7528763
1504,35.607000,-30.773756
1505,35.627000,-30.7906399
1506,35.646000,-30.8076172
1507,35.666000,-30.8264027
1508,35.685000,-30.8462925
1509,35.704000,-30.8658924
1510,35.723000,-30.8839474
1511,35.767000,-30.9296131
1512,35.786000,-30.9447117
1513,35.806000,-30.9685764
1514,35.825000,-30.9856415
1515,35.849000,-31.0045719
1516,35.869000,-31.0208645
1517,35.887000,-31.0347672
1518,35.906000,-31.0526218
1519,35.928000,-31.0726013
1520,35.948000,-31.0914822
1521,35.967000,-31.1109791
1522,35.986000,-31.1316128
1523,36.018000,-31.1633091
1524,36.042000,-31.1853046
1525,36.062000,-31.2071476
1526,36.082000,-31.2280121
1527,36.102000,-31.2480412
1528,36.124000,-31.2700176
1529,36.144000,-31.2865906
1530,36.163000,-31.3054485
1531,36.183000,-31.3211746
1532,36.202000,-31.3413372
1533,36.221000,-31.3613338
1534,36.267000,-31.4020748
1535,36.286000,-31.4190006
1536,36.305000,-31.4391289
1537,36.326000,-31.4594383
1538,36.346000,-31.4737129
1539,36.368000,-31.4961433
1540,36.387000,-31.5134182
1541,36.408000,-31.5324459
1542,36.427000,-31.5508137
1543,36.446000,-31.5683842
1544,36.465000,-31.5872993
1545,36.509000,-31.6273136
1546,36.528000,-31.6472626
1547,36.546000,-31.6637592
1548,36.565000,-31.6756783
1549,36.586000,-31.6940594
1550,36.606000,-31.7130775
1551,36.632000,-31.7361336
1552,36.650000,-31.7554417
1553,36.668000,-31.7708378
1554,36.688000,-31.7892895
1555,36.708000,-31.8074303
1556,36.729000,-31.8250694
1557,36.774000,-31.8639393
1558,36.793000,-31.8798122
1559,36.814000,-31.9002762
1560,36.834000,-31.9218941
1561,36.860000,-31.948494
1562,36.878000,-31.9652176
1563,36.899000,-31.984148
1564,36.919000,-32.0024757
1565,36.937000,-32.0188942
1566,36.957000,-32.0333061
1567,36.977000,-32.0571671
1568,37.014000,-32.0867805
1569,37.037000,-32.1070175
1570,37.056000,-32.1255836
1571,37.075000,-32.1420631
1572,37.094000,-32.1602516
1573,37.113000,-32.1767616
1574,37.134000,-32.1936684
1575,37.153000,-32.2116585
1576,37.172000,-32.223835
1577,37.191000,-32.2393188
1578,37.210000,-32.2556076
1579,37.230000,-32.2778053
1580,37.275000,-32.3164749
1581,37.294000,-32.3305206
1582,37.315000,-32.3550148
1583,37.336000,-32.3752022
1584,37.359000,-32.3950043
1585,37.378000,-32.4138985
1586,37.398000,-32.4299202
1587,37.418000,-32.4478951
1588,37.437000,-32.4611816
1589,37.458000,-32.4746056
1590,37.477000,-32.4926376
1591,37.515000,-32.5217934
1592,37.534000,-32.5412903
1593,37.553000,-32.556488
1594,37.573000,-32.5746765
1595,37.593000,-32.5915985
1596,37.614000,-32.6107979
1597,37.633000,-32.626812
1598,37.654000,-32.6418648
1599,37.672000,-32.6580048
1600,37.694000,-32.6720924
1601,37.715000,-32.6877251
1602,37.733000,-32.7072067
1603,37.777000,-32.7422943
1604,37.796000,-32.7563438
1605,37.815000,-32.7725105
1606,37.837000,-32.7879257
1607,37.857000,-32.8195
1608,37.893000,-32.8353233
1609,37.917000,-32.8560829
1610,37.936000,-32.8764038
1611,37.960000,-32.8933754
1612,37.980000,-32.9083672
1613,38.019000,-32.9426956
1614,38.038000,-32.9584503
1615,38.058000,-32.9758453
